14 //Total number of Ge cuts to make
//Ge number(0-6),centroid, sigma
0,123,1.5
1,123,1.5
2,123,1.5
3,123,1.5
4,123,1.5
5,123,1.5
6,123,1.5
0,247.9,1.5
1,247.9,1.5
2,247.9,1.5
3,247.9,1.5
4,247.9,1.5
5,247.9,1.5
6,247.9,1.5
